id;chapter_no;title;content_id;word_count;is_vip;price;create_time;update_time
1;7687;obedience an;29231;28974;true;11861;2025-06-26T10:24:38;2025-06-25T23:31:06
2;9563;blight;8458;14471;true;6976;2025-06-25T22:30:16;2025-06-26T04:04:07
3;21441;polyester ouch during;8136;2100;false;9989;2025-06-26T01:59:09;2025-06-26T03:00:39
4;720;平坦;7449;30311;false;32081;2025-06-25T19:37:44;2025-06-26T00:57:52
5;25185;优秀;12288;5189;false;3228;2025-06-26T04:49:43;2025-06-26T06:06:14
6;14869;关闭;8030;31454;false;19075;2025-06-25T18:16:40;2025-06-26T09:12:17
7;17248;掐;2537;52;true;1690;2025-06-26T10:27:35;2025-06-26T16:45:15
8;7221;as drat;22202;4145;true;910;2025-06-26T14:09:58;2025-06-26T08:43:16
9;30749;how 掘 ack;9697;3080;true;29007;2025-06-26T04:08:18;2025-06-26T15:43:46
10;277;for qua;31138;32299;true;23098;2025-06-26T03:25:57;2025-06-26T07:34:15
