id;code;expired_at;type;novel_id;used;chapter_id;package_id
1;scholarship 小;2025-06-30T00:46:41;FREE_PACKAGE;2707;true;18097;25787
2;times huzzah;2025-06-30T00:52:34;FREE_PACKAGE;2082;true;18888;32691
3;sandbar 摔 极其;2025-06-30T00:06:22;FREE_CHAPTER;6679;true;26913;18193
4;吐;2025-06-30T10:36:57;FREE_CHAPTER;21508;true;13016;22267
5;understanding despite 咬;2025-06-29T17:55:19;FREE_CHAPTER;22539;false;25820;23553
6;legislature;2025-06-30T06:08:15;FREE_PACKAGE;160;true;26764;4984
7;好 aha;2025-06-30T02:55:08;FREE_CHAPTER;22655;true;3101;6226
8;老实 走 小;2025-06-30T15:49:25;FREE_CHAPTER;9944;false;6070;31311
9;pish;2025-06-30T00:44:28;FREE_PACKAGE;1057;false;17275;14885
10;倒 reasoning beneath;2025-06-30T08:44:17;FREE_CHAPTER;24986;false;12727;11238
