id;user_id;document_id;document_user_id;document_type;read_stat;praise_stat;collection_stat;comment_stat;create_time;update_time
1;32571;7656;12790;26644;23969;21059;5014;8684;2025-07-01T19:21:55;2025-07-01T17:00:00
2;10586;1050;25884;27971;23987;28447;12439;12787;2025-07-01T23:07:09;2025-07-01T16:58:08
3;8189;20570;7474;16819;5659;14619;27181;10393;2025-07-02T09:40:43;2025-07-02T08:26:32
4;13238;25937;31849;5867;7542;7646;16000;6511;2025-07-02T14:37:38;2025-07-02T03:37:52
5;9410;17502;20941;22803;29379;18483;7888;10453;2025-07-02T02:24:00;2025-07-02T04:11:36
6;23167;32319;5419;17347;5335;6186;30653;11153;2025-07-01T20:31:13;2025-07-02T11:35:53
7;19350;31198;29452;15449;25344;32462;20342;20439;2025-07-01T21:29:42;2025-07-01T22:23:46
8;13737;32214;7009;31069;13636;992;6459;12774;2025-07-02T10:37:52;2025-07-01T18:54:02
9;16509;18559;340;5651;5325;4874;12112;30888;2025-07-02T04:57:51;2025-07-02T07:50:39
10;21493;12876;32440;11620;22143;9581;26814;8873;2025-07-02T01:12:13;2025-07-01T18:27:13
